level,kode_bps,nama_bps,kode_dagri,nama_dagri,parent_kode_bps,periode_merge,fetched_at,province_kode_bps
provinsi,11,ACEH,11,ACEH,,2023_1.2022,2025-09-22T10:25:01+00:00,11
provinsi,12,SUMATERA UTARA,12,SUMATERA UTARA,,2023_1.2022,2025-09-22T10:25:01+00:00,12
provinsi,13,SUMATERA BARAT,13,SUMATERA BARAT,,2023_1.2022,2025-09-22T10:25:01+00:00,13
provinsi,14,RIAU,14,RIAU,,2023_1.2022,2025-09-22T10:25:01+00:00,14
provinsi,15,JAMBI,15,JAMBI,,2023_1.2022,2025-09-22T10:25:01+00:00,15
provinsi,16,SUMATERA SELATAN,16,SUMATERA SELATAN,,2023_1.2022,2025-09-22T10:25:01+00:00,16
provinsi,17,BENGKULU,17,BENGKULU,,2023_1.2022,2025-09-22T10:25:01+00:00,17
provinsi,18,LAMPUNG,18,LAMPUNG,,2023_1.2022,2025-09-22T10:25:01+00:00,18
provinsi,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,,2023_1.2022,2025-09-22T10:25:01+00:00,19
provinsi,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,,2023_1.2022,2025-09-22T10:25:01+00:00,21
provinsi,31,DKI JAKARTA,31,DKI JAKARTA,,2023_1.2022,2025-09-22T10:25:01+00:00,31
provinsi,32,JAWA BARAT,32,JAWA BARAT,,2023_1.2022,2025-09-22T10:25:01+00:00,32
provinsi,33,JAWA TENGAH,33,JAWA TENGAH,,2023_1.2022,2025-09-22T10:25:01+00:00,33
provinsi,34,DI YOGYAKARTA,34,DAERAH ISTIMEWA YOGYAKARTA,,2023_1.2022,2025-09-22T10:25:01+00:00,34
provinsi,35,JAWA TIMUR,35,JAWA TIMUR,,2023_1.2022,2025-09-22T10:25:01+00:00,35
provinsi,36,BANTEN,36,BANTEN,,2023_1.2022,2025-09-22T10:25:01+00:00,36
provinsi,51,BALI,51,BALI,,2023_1.2022,2025-09-22T10:25:01+00:00,51
provinsi,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,,2023_1.2022,2025-09-22T10:25:01+00:00,52
provinsi,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,,2023_1.2022,2025-09-22T10:25:01+00:00,53
provinsi,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,,2023_1.2022,2025-09-22T10:25:01+00:00,61
provinsi,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,,2023_1.2022,2025-09-22T10:25:01+00:00,62
provinsi,63,KALIMANTAN SELATAN,63,KALIMANTAN SELATAN,,2023_1.2022,2025-09-22T10:25:01+00:00,63
provinsi,64,KALIMANTAN TIMUR,64,KALIMANTAN TIMUR,,2023_1.2022,2025-09-22T10:25:01+00:00,64
provinsi,65,KALIMANTAN UTARA,65,KALIMANTAN UTARA,,2023_1.2022,2025-09-22T10:25:01+00:00,65
provinsi,71,SULAWESI UTARA,71,SULAWESI UTARA,,2023_1.2022,2025-09-22T10:25:01+00:00,71
provinsi,72,SULAWESI TENGAH,72,SULAWESI TENGAH,,2023_1.2022,2025-09-22T10:25:01+00:00,72
provinsi,73,SULAWESI SELATAN,73,SULAWESI SELATAN,,2023_1.2022,2025-09-22T10:25:01+00:00,73
provinsi,74,SULAWESI TENGGARA,74,SULAWESI TENGGARA,,2023_1.2022,2025-09-22T10:25:01+00:00,74
provinsi,75,GORONTALO,75,GORONTALO,,2023_1.2022,2025-09-22T10:25:01+00:00,75
provinsi,76,SULAWESI BARAT,76,SULAWESI BARAT,,2023_1.2022,2025-09-22T10:25:01+00:00,76
provinsi,81,MALUKU,81,MALUKU,,2023_1.2022,2025-09-22T10:25:01+00:00,81
provinsi,82,MALUKU UTARA,82,MALUKU UTARA,,2023_1.2022,2025-09-22T10:25:01+00:00,82
provinsi,91,PAPUA BARAT,92,PAPUA BARAT,,2023_1.2022,2025-09-22T10:25:01+00:00,91
provinsi,92,PAPUA BARAT DAYA,92,PAPUA BARAT,,2023_1.2022,2025-09-22T10:25:01+00:00,92
provinsi,94,PAPUA,91,P A P U A,,2023_1.2022,2025-09-22T10:25:01+00:00,94
provinsi,95,PAPUA SELATAN,93,PAPUA SELATAN,,2023_1.2022,2025-09-22T10:25:01+00:00,95
provinsi,96,PAPUA TENGAH,94,PAPUA TENGAH,,2023_1.2022,2025-09-22T10:25:01+00:00,96
provinsi,97,PAPUA PEGUNUNGAN,95,PAPUA PEGUNUNGAN,,2023_1.2022,2025-09-22T10:25:01+00:00,97
