level,kode_bps,nama_bps,kode_dagri,nama_dagri,parent_kode_bps,periode_merge,fetched_at,province_kode_bps
kabupaten,1101,SIMEULUE,11.09,KAB. SIMEULUE,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1102,ACEH SINGKIL,11.10,KAB. ACEH SINGKIL,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1103,ACEH SELATAN,11.01,KAB. ACEH SELATAN,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1104,ACEH TENGGARA,11.02,KAB. ACEH TENGGARA,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1105,ACEH TIMUR,11.03,KAB. ACEH TIMUR,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1106,ACEH TENGAH,11.04,KAB. ACEH TENGAH,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1107,ACEH BARAT,11.05,KAB. ACEH BARAT,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1108,ACEH BESAR,11.06,KAB. ACEH BESAR,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1109,PIDIE,11.07,KAB. PIDIE,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1110,BIREUEN,11.11,KAB. BIREUEN,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1111,ACEH UTARA,11.08,KAB. ACEH UTARA,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1112,ACEH BARAT DAYA,11.12,KAB. ACEH BARAT DAYA,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1113,GAYO LUES,11.13,KAB. GAYO LUES,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1114,ACEH TAMIANG,11.16,KAB. ACEH TAMIANG,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1115,NAGAN RAYA,11.15,KAB. NAGAN RAYA,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1116,ACEH JAYA,11.14,KAB. ACEH JAYA,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1117,BENER MERIAH,11.17,KAB. BENER MERIAH,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1118,PIDIE JAYA,11.18,KAB. PIDIE JAYA,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1171,BANDA ACEH,11.71,KOTA BANDA ACEH,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1172,SABANG,11.72,KOTA SABANG,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1173,LANGSA,11.74,KOTA LANGSA,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1174,LHOKSEUMAWE,11.73,KOTA LHOKSEUMAWE,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1175,SUBULUSSALAM,11.75,KOTA SUBULUSSALAM,11,2019_1.2019,2025-09-22T11:48:16+00:00,11
kabupaten,1201,NIAS,12.04,KAB. NIAS,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1202,MANDAILING NATAL,12.13,KAB. MANDAILING NATAL,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1203,TAPANULI SELATAN,12.03,KAB. TAPANULI SELATAN,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1204,TAPANULI TENGAH,12.01,KAB. TAPANULI TENGAH,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1205,TAPANULI UTARA,12.02,KAB. TAPANULI UTARA,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1206,TOBA SAMOSIR,12.12,KAB. TOBA SAMOSIR,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1207,LABUHAN BATU,12.10,KAB. LABUHANBATU,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1208,ASAHAN,12.09,KAB. ASAHAN,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1209,SIMALUNGUN,12.08,KAB. SIMALUNGUN,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1210,DAIRI,12.11,KAB. DAIRI,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1211,KARO,12.06,KAB. KARO,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1212,DELI SERDANG,12.07,KAB. DELI SERDANG,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1213,LANGKAT,12.05,KAB. LANGKAT,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1214,NIAS SELATAN,12.14,KAB. NIAS SELATAN,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1215,HUMBANG HASUNDUTAN,12.16,KAB. HUMBANG HASUNDUTAN,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
kabupaten,1216,PAKPAK BHARAT,12.15,KAB. PAKPAK BHARAT,12,2019_1.2019,2025-09-22T11:48:16+00:00,12
