level,kode_bps,nama_bps,kode_dagri,nama_dagri,parent_kode_bps,periode_merge,fetched_at,province_kode_bps
kabupaten,1101,KAB. SIMEULUE,1109,KAB. SIMEULUE,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1102,KAB. ACEH SINGKIL,1110,KAB. ACEH SINGKIL,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1103,KAB. ACEH SELATAN,1101,KAB. ACEH SELATAN,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1104,KAB. ACEH TENGGARA,1102,KAB. ACEH TENGGARA,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1105,KAB. ACEH TIMUR,1103,KAB. ACEH TIMUR,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1106,KAB. ACEH TENGAH,1104,KAB. ACEH TENGAH,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1107,KAB. ACEH BARAT,1105,KAB. ACEH BARAT,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1108,KAB. ACEH BESAR,1106,KAB. ACEH BESAR,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1109,KAB. PIDIE,1107,KAB. PIDIE,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1110,KAB. BIREUEN,1111,KAB. BIREUEN,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1111,KAB. ACEH UTARA,1108,KAB. ACEH UTARA,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1112,KAB. ACEH BARAT DAYA,1112,KAB. ACEH BARAT DAYA,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1113,KAB. GAYO LUES,1113,KAB. GAYO LUES,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1114,KAB. ACEH TAMIANG,1116,KAB. ACEH TAMIANG,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1115,KAB. NAGAN RAYA,1115,KAB. NAGAN RAYA,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1116,KAB. ACEH JAYA,1114,KAB. ACEH JAYA,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1117,KAB. BENER MERIAH,1117,KAB. BENER MERIAH,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1118,KAB. PIDIE JAYA,1118,KAB. PIDIE JAYA,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1171,KOTA BANDA ACEH,1171,KOTA BANDA ACEH,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1172,KOTA SABANG,1172,KOTA SABANG,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1173,KOTA LANGSA,1174,KOTA LANGSA,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1174,KOTA LHOKSEUMAWE,1173,KOTA LHOKSEUMAWE,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1175,KOTA SUBULUSSALAM,1175,KOTA SUBULUSSALAM,11,2024_1.2022,2025-09-22T10:10:22+00:00,11
kabupaten,1201,KAB. NIAS,1204,KAB. NIAS,12,2024_1.2022,2025-09-22T10:10:22+00:00,12
kabupaten,1202,KAB. MANDAILING NATAL,1213,KAB. MANDAILING NATAL,12,2024_1.2022,2025-09-22T10:10:22+00:00,12
kabupaten,1203,KAB. TAPANULI SELATAN,1203,KAB. TAPANULI SELATAN,12,2024_1.2022,2025-09-22T10:10:22+00:00,12
kabupaten,1204,KAB. TAPANULI TENGAH,1201,KAB. TAPANULI TENGAH,12,2024_1.2022,2025-09-22T10:10:22+00:00,12
kabupaten,1205,KAB. TAPANULI UTARA,1202,KAB. TAPANULI UTARA,12,2024_1.2022,2025-09-22T10:10:22+00:00,12
kabupaten,1206,KAB. TOBA,1212,KAB. TOBA,12,2024_1.2022,2025-09-22T10:10:22+00:00,12
kabupaten,1207,KAB. LABUHANBATU,1210,KAB. LABUHANBATU,12,2024_1.2022,2025-09-22T10:10:22+00:00,12
kabupaten,1208,KAB. ASAHAN,1209,KAB. ASAHAN,12,2024_1.2022,2025-09-22T10:10:22+00:00,12
